"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_EXPANSION_QUEST","Quest","Quest","Úkol","Quest","Задания","Quest","Quest","Quest","Misión","Quête","任務","Quest","Quest","任务",
"STR_EXPANSION_QUEST_REQUIRED_TRADER","You must finish the quest %1 first.","You must finish the quest %1 first.","Nejdříve musíte dokončit úkol %1.","Du musst zuerst die Quest %1 beenden.","Сначала вы должны закончить задание %1.","You must finish the quest %1 first.","You must finish the quest %1 first.","You must finish the quest %1 first.","Debes completar la misión %1 para poder acceder.","Vous devez finir la quête %1 avant.","您必須先完成任務 %1。","You must finish the quest %1 first.","You must finish the quest %1 first.","你必须先完成任务%1。",
"STR_EXPANSION_QUEST_ACCEPTED","Quest accepted!","Quest accepted!","Úkol přijat!","Aufgabe angenommen!","Задание принято!","Misja przyjęta!","Quest accepted!","Missione Accettata!","Misión aceptada","Quête acceptée !","任務已接受！","Quest accepted!","Missão aceita!","接受任务！",
"STR_EXPANSION_QUEST_ACTION_READ","Read","Read","Přečíst","Lese","Прочитать","Read","Read","Leggi","Leer","Lire","閱讀","Read","Read","阅读",
"STR_EXPANSION_QUEST_ACTION_TALK","Talk to","Talk to","Promluvit s","Spreche mit","Поговорить с","Talk to","Talk to","Parla a","Hablar","Parler à","與...交談","Talk to","Talk to","交谈",
"STR_EXPANSION_QUEST_CANCELED","Quest canceled!","Quest canceled!","Úkol zrušen!","Aufgabe abgebrochen!","Задание отменено!","Misja anulowana!","Quest canceled!","Missione Cancellata!","Misión Cancelada","Quête annulée !","任務已取消！","Quest canceled!","Missão cancelada!","任务已取消！",
"STR_EXPANSION_QUEST_COMPLETE","Quest completed!","Quest completed!","Úkol dokončen!","Aufgabe abgeschlossen!","Задание выполнено!","Zadanie zakończone!","Quest completed!","Missione Completata!","Misión Cumplida","Quête complétée !","任務已完成！","Quest completed!","Missão completada!","接受取消！",
"STR_EXPANSION_QUEST_CONFIRM_CANCEL_TEXT","Are you sure you want to cancel this quest?","Are you sure you want to cancel this quest?","Opravdu chcete zrušit tento úkol?","Bist du dir sicher das du diese Quest abbrechen möchtest?","Вы уверены, что хотите отменить это задание?","Are you sure you want to cancel this quest?","Are you sure you want to cancel this quest?","Sei sicuro i voler cancellare questa missione?","Estas seguro que deseas cancelar la misión?","Êtes-vous sûr de vouloir abandonner la quête?","您確定要取消此任務嗎？","Are you sure you want to cancel this quest?","Are you sure you want to cancel this quest?","您确定要取消此任务吗？",
"STR_EXPANSION_QUEST_FAILED","Quest failed!","Quest failed!","Úkol nesplněn!","Aufgabe fehlgeschlagen!","Задание провалено!","Misja zawiedziona!","Quest failed!","Missione Fallita!","Misión Fallida!","Quête échouée !","任務失敗！","Quest failed!","Missão falhou!","任务失败！",
"STR_EXPANSION_QUEST_HUD_COLLECT","Find and Deliver:","Find and Deliver:","Najít a doručit:","Finde und Liefere:","Найти и доставить:","Find and Deliver:","Find and Deliver:","Trova e Consegna:","Encuentra y entrega:","Trouver et livrer:","尋找並交付：","Find and Deliver:","Find and Deliver:","查找和交付：",
"STR_EXPANSION_QUEST_HUD_COMPLETE","COMPLETE","COMPLETE","HOTOVO","ABGESCHLOSSEN","ВЫПОЛНЕНО","COMPLETE","COMPLETE","COMPLETA","COMPLETAR","ACHEVÉ","完成","COMPLETE","COMPLETE","完成",
"STR_EXPANSION_QUEST_HUD_DELIVER","Deliver:","Deliver:","Doručit:","Liefere:","Доставить:","Deliver:","Deliver:","Consegna:","Entregar:","Délivrer:","交付：","Deliver:","Deliver:","递送：",
"STR_EXPANSION_QUEST_HUD_INCOMPLETE","INCOMPLETE","INCOMPLETE","NEKOMPLETNÍ","UNVOLLSTÄNDIG","НЕ ВЫПОЛНЕНО","INCOMPLETE","INCOMPLETE","INCOMPLETA","INCOMPLETA","INCOMPLET","未完成","INCOMPLETE","INCOMPLETE","未完成",
"STR_EXPANSION_QUEST_HUD_KILLED","Killed:","Killed:","Zabití:","Getötet:","Убито:","Killed:","Killed:","Uccisi:","Eliminados:","Tué:","已擊殺：","Killed:","Killed:","被杀：",
"STR_EXPANSION_QUEST_HUD_TIME","Time Remaining:","Time Remaining:","Zbývající čas:","Verbleibende Zeit:","Оставшееся время:","Time Remaining:","Time Remaining:","Tempo Rimanente:","Tiempo restante:","Temps restant:","剩餘時間：","Time Remaining:","Time Remaining:","剩余时间：",
"STR_EXPANSION_QUEST_HUD_TRAVEL","Travel:","Travel:","Cesta:","Reise:","Пройдено:","Travel:","Travel:","Viaggio:","Traslado:","Parcourir:","旅行：","Travel:","Travel:","距离：",
"STR_EXPANSION_QUEST_HUD_TREASURE","Find treasure:","Find treasure:","Najít poklad:","Finde Schatz:","Найдите сокровища:","Find treasure:","Find treasure:","Trova il tesoro:","Encuentra el tesoro:","Trouver:","尋找寶藏：","Find treasure:","Find treasure:","寻宝：",
"STR_EXPANSION_QUEST_HUD_TURN_IN","COMPLETED -> TURN-IN","COMPLETED -> TURN-IN","DOKONČENO -> ODEVZDAT","ABGESCHLOSSEN -> ABGEBEN","ЗАВЕРШЕН -> СДАТЬ","COMPLETED -> TURN-IN","COMPLETED -> TURN-IN","COMPLETA -> CONSEGNA","COMPLETA -> ENTREGAR","RÉCUPÉREZ RÉCOMPENSE","完成 -> 交付","COMPLETED -> TURN-IN","COMPLETED -> TURN-IN","完成 -> 上交",
"STR_EXPANSION_QUEST_MARKER_TURNIN","Turn-In Quest","Turn-In Quest","Úkol k odevzdání","Quest Abgeben","Задание на сдачу","Turn-In Quest","Turn-In Quest","Consegna Missione","Entregar Misión","Compléter la quête","交付任務","Turn-In Quest","Turn-In Quest","提交任务",
"STR_EXPANSION_QUEST_MENU_ACCEPT","Accept","Accept","Přijmout","Annehmen","Принять","Accept","Accept","Accetta","Aceptar","Accepter","接受","Accept","Accept","确认",
"STR_EXPANSION_QUEST_MENU_CANCEL","Cancel","Cancel","Zrušit","Abbrechen","Отмена","Cancel","Cancel","Cancella","Cancelar","Annuler","取消","Cancel","Cancel","取消",
"STR_EXPANSION_QUEST_MENU_CANCEL_QUEST","Cancel Quest","Cancel Quest","Zrušit úkol","Quest Abbrechen","Отменить задание","Cancel Quest","Cancel Quest","Cancella Missione","Cancelar Misión","Abandonner la quête","取消任務","Cancel Quest","Cancel Quest","取消任务",
"STR_EXPANSION_QUEST_MENU_COMPLETE","Complete","Complete","Hotovo","Abgeben","Выполнено","Complete","Complete","Completa","Completar","Valider","完成","Complete","Complete","完全的",
